           571	2023-04-26 15:12:18	1	0	15	0
            27	2023-04-26 15:14:35	1	0	15	0
           408	2023-06-21 08:23:43	1	0	15	0
           413	2023-06-21 08:31:51	1	0	1	0
           413	2023-06-21 08:32:02	1	0	1	0
           413	2023-07-18 18:56:53	1	0	1	0
           413	2023-07-18 20:10:21	1	0	1	0
           413	2023-08-25 16:36:47	1	0	1	0
           413	2023-08-25 16:38:27	1	0	1	0
            58	2023-08-25 16:39:36	1	0	1	0
            48	2023-08-25 16:40:36	1	0	1	0
           132	2023-08-25 16:41:05	1	0	1	0
           142	2023-08-25 16:41:44	1	0	1	0
           145	2023-08-25 16:42:37	1	0	1	0
           144	2023-08-25 16:43:19	1	0	1	0
           187	2023-08-25 16:43:57	1	0	1	0
           401	2023-08-25 16:44:27	1	0	1	0
           332	2023-08-25 16:44:54	1	0	1	0
           413	2023-08-25 16:53:19	1	0	1	0
            91	2023-08-25 16:58:19	1	0	1	0
           185	2023-08-25 16:59:09	1	0	1	0
           241	2023-08-25 16:59:40	1	0	1	0
           181	2023-08-25 17:00:10	1	0	1	0
           180	2023-08-25 17:00:39	1	0	1	0
           527	2023-08-25 17:01:13	1	0	1	0
           536	2023-08-25 17:01:46	1	0	1	0
           592	2023-08-25 17:02:57	1	0	1	0
           118	2023-08-25 17:03:40	1	0	1	0
           471	2023-08-25 17:04:22	1	0	1	0
           472	2023-08-25 17:05:34	1	0	1	0
            57	2023-08-29 09:39:39	1	0	1	0
           379	2023-08-29 10:11:47	1	0	1	0
            80	2023-08-29 11:47:10	1	0	1	0
           511	2023-08-29 11:47:52	1	0	1	0
           551	2023-08-29 11:48:20	1	0	1	0
           413	2023-08-29 12:38:15	1	0	1	0
           369	2023-08-31 12:55:37	1	0	1	0
            57	2023-08-31 16:49:28	1	0	1	0
            58	2023-09-01 06:18:54	1	0	1	0
            91	2023-09-01 07:09:12	1	0	1	0
           185	2023-09-01 07:09:30	1	0	1	0
           144	2023-09-01 07:09:40	1	0	1	0
