           107	2023-06-01 05:47:08	1	0	1	0
           395	2023-06-01 05:47:28	1	0	1	0
           337	2023-06-01 06:02:52	1	0	15	0
            73	2023-06-01 06:10:54	1	0	1	0
            38	2023-06-01 06:11:02	1	0	1	0
           385	2023-06-01 06:30:50	1	0	1	0
           196	2023-06-01 06:31:55	1	0	15	0
           224	2023-06-01 06:33:41	1	0	15	0
           387	2023-06-01 06:37:24	1	0	15	0
           314	2023-06-01 06:37:34	1	0	1	0
            58	2023-06-01 06:39:41	1	0	1	0
           573	2023-06-01 06:42:57	1	0	1	0
           422	2023-06-01 06:44:28	1	0	15	0
           425	2023-06-01 06:45:01	1	0	15	0
            70	2023-06-01 06:47:49	1	0	1	0
           546	2023-06-01 06:49:08	1	0	1	0
           146	2023-06-01 06:51:17	1	0	15	0
           119	2023-06-01 06:52:34	1	0	15	0
           511	2023-06-01 06:55:36	1	0	1	0
           582	2023-06-01 06:56:40	1	0	1	0
           381	2023-06-01 06:56:59	1	0	1	0
           493	2023-06-01 06:59:49	1	0	1	0
            74	2023-06-01 07:00:29	1	0	15	0
           566	2023-06-01 07:03:16	1	0	15	0
           581	2023-06-01 07:03:19	1	0	15	0
            91	2023-06-01 07:03:44	1	0	1	0
           185	2023-06-01 07:03:57	1	0	15	0
           559	2023-06-01 07:05:05	1	0	15	0
           533	2023-06-01 07:05:14	1	0	1	0
            66	2023-06-01 07:06:26	1	0	15	0
           554	2023-06-01 07:06:41	1	0	1	0
           574	2023-06-01 07:06:50	1	0	1	0
           553	2023-06-01 07:07:16	1	0	1	0
           114	2023-06-01 07:08:51	1	0	1	0
           366	2023-06-01 07:10:15	1	0	1	0
           576	2023-06-01 07:10:20	1	0	1	0
            37	2023-06-01 07:10:38	1	0	1	0
            77	2023-06-01 07:12:44	1	0	1	0
           434	2023-06-01 07:15:33	1	0	1	0
           556	2023-06-01 07:19:57	1	0	1	0
           579	2023-06-01 07:20:08	1	0	1	0
           223	2023-06-01 07:22:34	1	0	15	0
           374	2023-06-01 07:23:00	1	0	1	0
            39	2023-06-01 07:23:55	1	0	1	0
           241	2023-06-01 07:24:07	1	0	1	0
           355	2023-06-01 07:26:11	1	0	15	0
           120	2023-06-01 07:26:25	1	0	1	0
           123	2023-06-01 07:26:33	1	0	1	0
           475	2023-06-01 07:27:21	1	0	1	0
           413	2023-06-01 07:27:27	1	0	4	0
           101	2023-06-01 07:27:38	1	0	1	0
           504	2023-06-01 07:27:45	1	0	1	0
           236	2023-06-01 07:27:59	1	0	1	0
           569	2023-06-01 07:28:05	1	0	1	0
           149	2023-06-01 07:30:05	1	0	15	0
           541	2023-06-01 07:31:21	1	0	15	0
           444	2023-06-01 07:32:43	1	0	1	0
           252	2023-06-01 07:33:55	1	0	1	0
           492	2023-06-01 07:35:06	1	0	1	0
           275	2023-06-01 07:35:21	1	0	1	0
           206	2023-06-01 07:35:29	1	0	15	0
           265	2023-06-01 07:36:07	1	0	15	0
           105	2023-06-01 07:38:01	1	0	1	0
           404	2023-06-01 07:38:04	1	0	1	0
           397	2023-06-01 07:38:27	1	0	1	0
           530	2023-06-01 07:39:28	1	0	1	0
           467	2023-06-01 07:39:45	1	0	1	0
            57	2023-06-01 07:40:36	1	0	15	0
            87	2023-06-01 07:41:04	1	0	15	0
           379	2023-06-01 07:41:20	1	0	1	0
            83	2023-06-01 07:41:32	1	0	1	0
           575	2023-06-01 07:42:38	1	0	1	0
           115	2023-06-01 07:42:59	1	0	15	0
           118	2023-06-01 07:43:23	1	0	1	0
           350	2023-06-01 07:43:42	1	0	1	0
           527	2023-06-01 07:43:58	1	0	1	0
           557	2023-06-01 07:44:16	1	0	1	0
           473	2023-06-01 07:44:19	1	0	1	0
            93	2023-06-01 07:44:27	1	0	15	0
           547	2023-06-01 07:46:09	1	0	1	0
           465	2023-06-01 07:46:19	1	0	15	0
           502	2023-06-01 07:46:25	1	0	1	0
           142	2023-06-01 07:46:32	1	0	1	0
           408	2023-06-01 07:46:40	1	0	1	0
